id,idAgencia,cpf,email,nome,telefone,dataDeNascimento,senha,dataDeCriacao,dataDeAtualizacao
9b65560a-47b0-4ba1-9bd8-a4f1ef40a2ce,0cce9356-a43a-420d-aa74-d676db7a9d8a,23932942795,francisco82@example.net,Sr. Vinícius Nascimento,91121947907,1968-07-16,SenhaForte123,2025-03-14T23:01:40.588457,2025-03-14T23:01:40.588458
1aa36b2f-766b-4230-84bd-983d8f94d8f2,0cce9356-a43a-420d-aa74-d676db7a9d8a,83065831678,moraesaurora@example.net,Maria Cecília Caldeira,19607415990,1976-07-11,SenhaForte123,2025-03-14T23:01:40.588508,2025-03-14T23:01:40.588509
d768681e-f677-4026-8b94-852b68aa197c,0cce9356-a43a-420d-aa74-d676db7a9d8a,08399512648,melocatarina@example.com,Manuela Ramos,08483737102,1993-05-01,SenhaForte123,2025-03-14T23:01:40.588546,2025-03-14T23:01:40.588547
6bb31bfc-9fd7-4de4-a96f-c94a7128fa0d,0cce9356-a43a-420d-aa74-d676db7a9d8a,25722874396,raraujo@example.com,Lucca Rezende,78645383572,1967-01-29,SenhaForte123,2025-03-14T23:01:40.588585,2025-03-14T23:01:40.588586
8d54e774-c567-4167-95f6-59ff9b14eb6d,0cce9356-a43a-420d-aa74-d676db7a9d8a,06954960187,moraesthiago@example.com,Maria Clara Dias,88616815465,1980-07-15,SenhaForte123,2025-03-14T23:01:40.588621,2025-03-14T23:01:40.588622
b60ee48c-49e9-4620-bd70-63fdb854239d,0cce9356-a43a-420d-aa74-d676db7a9d8a,72626060933,thomas03@example.org,Sarah Carvalho,71216889350,1983-08-14,SenhaForte123,2025-03-14T23:01:40.588655,2025-03-14T23:01:40.588656
7a994f6d-f07c-4545-8071-03a340d3ddeb,0cce9356-a43a-420d-aa74-d676db7a9d8a,10228485509,ccunha@example.net,Arthur Gabriel das Neves,80070606843,1993-03-07,SenhaForte123,2025-03-14T23:01:40.588689,2025-03-14T23:01:40.588689
811ea727-ce30-4b40-aa71-3af675847638,0cce9356-a43a-420d-aa74-d676db7a9d8a,01522990178,da-matayasmin@example.com,Ravi Lucca Moraes,69397551455,1984-03-10,SenhaForte123,2025-03-14T23:01:40.588724,2025-03-14T23:01:40.588724
6720a9ad-515c-42f2-9ddb-93972d5a67b6,0cce9356-a43a-420d-aa74-d676db7a9d8a,59220717506,lorenzo80@example.net,Yuri Cassiano,06586685249,1975-08-14,SenhaForte123,2025-03-14T23:01:40.588757,2025-03-14T23:01:40.588757
5ee2e102-b83a-45dd-842b-12369abf9077,0cce9356-a43a-420d-aa74-d676db7a9d8a,34739374870,da-luzjuan@example.org,Ana Lívia da Paz,69409156942,1977-02-07,SenhaForte123,2025-03-14T23:01:40.588794,2025-03-14T23:01:40.588795
5349e703-8834-4b3b-81fb-80f2805b97aa,0cce9356-a43a-420d-aa74-d676db7a9d8a,77081953735,bda-paz@example.com,Caleb Sampaio,87484099310,1972-11-28,SenhaForte123,2025-03-14T23:01:40.588828,2025-03-14T23:01:40.588829
c984af7f-5f4c-444a-8d0c-0001e7a868e4,0cce9356-a43a-420d-aa74-d676db7a9d8a,53108980939,mariana38@example.com,Gael Henrique Pires,34688260921,1968-04-26,SenhaForte123,2025-03-14T23:01:40.588866,2025-03-14T23:01:40.588867
8473a7fb-0075-4feb-af4e-a2c85f0fd998,0cce9356-a43a-420d-aa74-d676db7a9d8a,01352104610,nogueiraalexia@example.org,Giovanna da Costa,12786881672,1975-12-16,SenhaForte123,2025-03-14T23:01:40.588906,2025-03-14T23:01:40.588906
b105b4dc-9f37-4a9d-9b4e-fdcd45ab0466,0cce9356-a43a-420d-aa74-d676db7a9d8a,14620217000,alveskamilly@example.com,João Lucas Silveira,08641698884,1969-04-09,SenhaForte123,2025-03-14T23:01:40.588940,2025-03-14T23:01:40.588941
c32da65b-85ec-497f-87a5-3b8d573175a9,0cce9356-a43a-420d-aa74-d676db7a9d8a,66916217863,caio73@example.net,Marcos Vinicius Ferreira,04032754912,1969-11-07,SenhaForte123,2025-03-14T23:01:40.588973,2025-03-14T23:01:40.588974
464b2212-ec99-4e8f-916d-e6ec55a6e5dd,0cce9356-a43a-420d-aa74-d676db7a9d8a,17764302635,marcos-viniciusdias@example.net,Sr. Théo Souza,09170946644,1985-01-17,SenhaForte123,2025-03-14T23:01:40.589010,2025-03-14T23:01:40.589011
8b1ed771-f213-4120-8a41-a0b5f324aecc,0cce9356-a43a-420d-aa74-d676db7a9d8a,41468602101,caldeiraemilly@example.org,Bruna Ramos,45620632945,1988-08-05,SenhaForte123,2025-03-14T23:01:40.589044,2025-03-14T23:01:40.589045
57af3086-a6a5-4b53-98d3-eeaa7dddc77c,0cce9356-a43a-420d-aa74-d676db7a9d8a,83511460808,guerravinicius@example.org,Noah Barbosa,50192943761,1988-09-26,SenhaForte123,2025-03-14T23:01:40.589078,2025-03-14T23:01:40.589079
855779f2-ca2f-4bcf-be6a-f59c2ba37fe4,0cce9356-a43a-420d-aa74-d676db7a9d8a,15299483716,raquelda-costa@example.net,Dra. Sabrina Almeida,07037581897,1985-05-02,SenhaForte123,2025-03-14T23:01:40.589115,2025-03-14T23:01:40.589116
581c29e6-6cb6-4a60-8d5a-738bf3b28774,0cce9356-a43a-420d-aa74-d676db7a9d8a,87506764903,wcassiano@example.net,Helena Vasconcelos,48130313597,1968-11-07,SenhaForte123,2025-03-14T23:01:40.589148,2025-03-14T23:01:40.589149
44a5b4e7-d46c-4464-a6fb-c5d74ba09f60,0cce9356-a43a-420d-aa74-d676db7a9d8a,84861191629,da-pazerick@example.org,Sara da Mota,66973645580,1982-05-08,SenhaForte123,2025-03-14T23:01:40.589182,2025-03-14T23:01:40.589183
63cb88d9-dca6-4ce0-b4d8-393cae846beb,0cce9356-a43a-420d-aa74-d676db7a9d8a,95188785285,guilhermeandrade@example.org,Pedro Lucas Camargo,26000387351,1977-12-01,SenhaForte123,2025-03-14T23:01:40.589215,2025-03-14T23:01:40.589216
7b84cf82-ebda-44d8-abbc-3bf3cde5315a,0cce9356-a43a-420d-aa74-d676db7a9d8a,35971216163,da-pazpedro-lucas@example.net,Asafe Brito,54732387471,1985-09-30,SenhaForte123,2025-03-14T23:01:40.589287,2025-03-14T23:01:40.589288
1348277e-c140-42ba-ba53-7150f8b28b17,0cce9356-a43a-420d-aa74-d676db7a9d8a,69587778324,evelyn50@example.org,Heloísa Santos,04879953072,1983-03-10,SenhaForte123,2025-03-14T23:01:40.589325,2025-03-14T23:01:40.589325
