id,idAgencia,cpf,email,nome,telefone,dataDeNascimento,senha,dataDeCriacao,dataDeAtualizacao
00990b53-7dc9-477c-9758-3f9d8a62c84e,65add10d-e7cc-460c-b73d-ad651678e0a3,24322750982,stephany85@example.net,Bárbara da Rocha,32212792023,1985-11-12,SenhaForte123,2025-04-15T13:19:52.451159,2025-04-15T13:19:52.451160
022d24b6-2a63-488b-89be-253283e89d25,65add10d-e7cc-460c-b73d-ad651678e0a3,08295146432,da-mataliz@example.org,Maria Isis Abreu,14541208913,1967-02-03,SenhaForte123,2025-04-15T13:19:52.451206,2025-04-15T13:19:52.451207
c6f8270a-c4a8-4526-805a-0898e41fee25,65add10d-e7cc-460c-b73d-ad651678e0a3,91911261428,nicolas02@example.com,Davi Lucca Sá,31887449054,1965-07-04,SenhaForte123,2025-04-15T13:19:52.451244,2025-04-15T13:19:52.451245
827f4013-fdc1-4a75-94e9-56292774002b,65add10d-e7cc-460c-b73d-ad651678e0a3,74860291204,ocunha@example.com,Esther Andrade,84729437402,1977-09-17,SenhaForte123,2025-04-15T13:19:52.451279,2025-04-15T13:19:52.451280
485ebd18-2f9d-43ae-9e46-70f964744326,65add10d-e7cc-460c-b73d-ad651678e0a3,49035212304,leandro19@example.org,Gael Henrique Abreu,76042600750,1978-08-27,SenhaForte123,2025-04-15T13:19:52.451313,2025-04-15T13:19:52.451314
017f3bd9-1df5-4eff-9227-8f0fa49c1c9a,65add10d-e7cc-460c-b73d-ad651678e0a3,71433840111,marqueseduarda@example.net,Ana Carolina Aparecida,47531171944,1981-06-16,SenhaForte123,2025-04-15T13:19:52.451347,2025-04-15T13:19:52.451348
6735e0bf-7e5b-46c4-914a-84aaaacfc17e,65add10d-e7cc-460c-b73d-ad651678e0a3,16541225052,lopesluana@example.org,Srta. Emanuella Moura,75691616995,1966-05-26,SenhaForte123,2025-04-15T13:19:52.451381,2025-04-15T13:19:52.451382
c058ee1b-2be4-402b-bd52-617c2eb590cb,65add10d-e7cc-460c-b73d-ad651678e0a3,96887658720,camposgiovanna@example.com,Lucas Gabriel Oliveira,21261381521,1970-02-22,SenhaForte123,2025-04-15T13:19:52.451414,2025-04-15T13:19:52.451415
32489cee-e7ee-49c4-b1f4-5bf4f6d964a7,65add10d-e7cc-460c-b73d-ad651678e0a3,05356350791,fernanda30@example.com,Stella Pires,50318244262,1974-11-07,SenhaForte123,2025-04-15T13:19:52.451447,2025-04-15T13:19:52.451467
aa47ce61-e27b-4aad-999e-da0b80e1cde2,65add10d-e7cc-460c-b73d-ad651678e0a3,73676770200,fariasravi@example.com,Maria Luiza da Conceição,33376543742,1977-05-14,SenhaForte123,2025-04-15T13:19:52.451513,2025-04-15T13:19:52.451514
